0,col_1,col_2,col_3,col_4,col_5,col_6
2016-02-01 01:30:00,21,27.203389830508474,-5.491525423728813,2.9890788011715537,-3.4339531252658198,27.16461551981761
2016-02-01 01:35:00,27,28.677966101694924,-0.9152542372881348,2.9549921049494032,-6.329071789318022,26.110168335238857
2016-02-01 01:40:00,18,31.118644067796605,3.9152542372881345,2.933788272552456,-4.5036620838134125,21.41300125513933
2016-02-01 01:45:00,24,30.10169491525424,1.4237288135593218,2.906943843968804,-5.9279175950170835,24.368505406173572
2016-02-01 01:50:00,21,29.74576271186441,-1.3728813559322006,2.916584246984937,-5.021681974327216,25.666554691351706
2016-02-01 01:55:00,21,31.627118644067803,1.525423728813557,2.9095359222156487,-6.476987594442555,25.379687950456262
2016-02-01 02:00:00,27,32.03389830508475,2.2881355932203387,2.8887847634495576,-6.816797788972669,23.83266858625095
2016-02-01 02:05:00,24,27.813559322033896,-3.8135593220338966,2.872386268418857,-4.831013085098824,25.394453907088035
2016-02-01 02:10:00,30,24.50847457627119,-7.5254237288135615,2.864995220170623,-5.585399174080467,27.41118174205121
2016-02-01 02:15:00,27,23.59322033898305,-4.220338983050849,2.8345071862102484,-3.9842116107503136,22.606597737735466
2016-02-01 02:20:00,12,22.525423728813557,-1.9830508474576265,2.807009207626548,-2.784895389208675,20.631957642173262
2016-02-01 02:25:00,12,26.28813559322034,2.694915254237287,2.788697429713219,-6.174695091800303,20.766238376498045
2016-02-01 02:30:00,18,25.01694915254237,2.491525423728813,2.799443513124631,-7.426491361798143,16.964462695159174
2016-02-01 02:35:00,15,26.186440677966104,-0.1016949152542388,2.778561313144006,-5.66111209601412,19.628223836851774
2016-02-01 02:40:00,18,24.15254237288136,-0.8644067796610173,2.7761365447671875,-7.215950675949394,19.73830923112828
2016-02-01 02:45:00,18,23.54237288135593,-2.6440677966101696,2.7690767938713283,-6.4963081461856085,19.621619314410204
2016-02-01 02:50:00,27,26.186440677966104,2.033898305084744,2.7645966803715942,-6.599561664469607,18.13487109543161
2016-02-01 02:55:00,18,25.3728813559322,1.8305084745762732,2.7523332038452564,-2.8602464132686247,17.429645309174795
2016-02-01 03:00:00,18,27.966101694915253,1.7796610169491522,2.7565854302584394,-3.9452412652166022,23.164619358782293
2016-02-01 03:05:00,15,25.83050847457627,0.4576271186440657,2.7774462177207666,-5.263992743101731,21.56907567982768
2016-02-01 03:10:00,21,28.01694915254237,0.050847457627121166,2.774319039829095,-6.61313371268156,23.111888906295015
2016-02-01 03:15:00,21,26.94915254237288,1.1186440677966123,2.7892872688301145,-6.109286560768435,19.842744222832906
2016-02-01 03:20:00,24,30.203389830508474,2.1864406779661003,2.784877036950176,-5.184518939762463,22.39216474143417
2016-02-01 03:25:00,21,33.610169491525426,6.661016949152543,2.7782642919167757,-4.4761055740518865,22.071068866837244
2016-02-01 03:30:00,15,35.69491525423729,5.491525423728813,2.7899617010106077,-4.780611601861499,25.92992840193523
2016-02-01 03:35:00,27,37.22033898305085,3.6101694915254186,2.781718470393973,-8.079268238977885,29.1193223301131
2016-02-01 03:40:00,24,34.88135593220339,-0.8135593220338961,2.765758227845707,-6.706842983961384,28.482281683171358
2016-02-01 03:45:00,33,32.440677966101696,-4.779661016949148,2.7664500097823232,-7.892485903721343,31.04517932468709
2016-02-01 03:50:00,42,36.559322033898304,1.6779661016949134,2.7687345322743364,-5.916067904801139,27.7010181417388
2016-02-01 03:55:00,18,40.677966101694906,8.237288135593218,2.7800279941447323,-1.1080198914084587,26.84498405772706
